image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g,sum_check,total_match,difference,Month,Season
train/ID1011485656.jpg,2015-09-04,Tas,Ryegrass_Clover,0.62,4.6667,0.0,31.9984,16.2751,48.2735,16.275,48.2735,True,0.0,9,Spring
train/ID1012260530.jpg,2015-04-01,NSW,Lucerne,0.55,16.0,0.0,0.0,7.6,7.6,7.6,7.6,True,0.0,4,Autumn
train/ID1025234388.jpg,2015-09-01,WA,SubcloverDalkeith,0.38,1.0,6.05,0.0,0.0,6.05,6.05,6.05,True,0.0,9,Spring
train/ID1028611175.jpg,2015-05-18,Tas,Ryegrass,0.66,5.0,0.0,30.9703,24.2376,55.2079,24.2376,55.2079,True,0.0,5,Autumn
train/ID1035947949.jpg,2015-09-11,Tas,Ryegrass,0.54,3.5,0.4343,23.2239,10.5261,34.1844,10.9605,34.1843,False,9.999999999621423e-05,9,Spring
train/ID1036339023.jpg,2015-09-30,Vic,Phalaris_Clover,0.82,7.0,23.0755,2.6135,32.191,57.88,55.2665,57.88,True,0.0,9,Spring
train/ID1049634115.jpg,2015-07-02,Vic,Ryegrass_Clover,0.72,2.0,1.5083,3.0167,13.575,18.1,15.0833,18.1,True,0.0,7,Winter
train/ID1051144034.jpg,2015-09-01,WA,SubcloverLosa,0.8,1.0,55.32,0.0,0.0,55.32,55.32,55.32,True,0.0,9,Spring
train/ID1052620238.jpg,2015-05-18,Tas,Ryegrass,0.68,5.0,0.0,11.2291,20.1707,31.3998,20.1707,31.3998,True,0.0,5,Autumn
train/ID105271783.jpg,2015-06-30,Vic,Phalaris_Clover,0.86,4.0,5.2698,8.5635,27.6667,41.5,32.9365,41.5,True,0.0,6,Winter
train/ID1053972079.jpg,2015-09-04,Tas,Clover,0.56,2.5,21.0801,7.9393,1.3688,30.3882,22.4489,30.3882,True,0.0,9,Spring
train/ID1058383417.jpg,2015-05-19,Tas,Ryegrass_Clover,0.62,2.0,0.1,9.5,13.1,22.7,13.2,22.7,True,0.0,5,Autumn
train/ID1062837331.jpg,2015-09-29,Vic,Ryegrass_Clover,0.82,9.0,19.98,3.9623,35.4077,59.35,55.3877,59.349999999999994,True,7.105427357601002e-15,9,Spring
train/ID1070112260.jpg,2015-01-15,NSW,Fescue_CrumbWeed,0.6,6.0,0.0,9.8765,22.1235,32.0,22.1235,32.0,True,0.0,1,Summer
train/ID1078930021.jpg,2015-06-26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,0.0,5.0189,32.9811,38.0,32.9811,38.0,True,0.0,6,Winter
train/ID1084819986.jpg,2015-09-04,Tas,Clover,0.69,3.1667,21.4551,13.0742,2.6819,37.2112,24.137,37.2112,True,0.0,9,Spring
train/ID1088965591.jpg,2015-04-01,NSW,Lucerne,0.89,43.0,0.0,0.3443,59.5557,59.9,59.5557,59.9,True,0.0,4,Autumn
train/ID1098771283.jpg,2015-11-09,Tas,Clover,0.48,2.6667,8.376,15.1673,0.4528,23.9961,8.8287,23.9961,True,0.0,11,Spring
train/ID1103883611.jpg,2015-02-24,NSW,Phalaris,0.48,26.0,0.0,12.9166,82.7834,95.7,82.7834,95.7,True,0.0,2,Summer
train/ID1108283583.jpg,2015-08-19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,5.773,7.2162,40.4108,53.4,46.1838,53.400000000000006,True,7.105427357601002e-15,8,Winter
train/ID1113121340.jpg,2015-09-30,Vic,Phalaris_Clover,0.8,16.0,0.2931,11.6271,82.6598,94.58,82.9529,94.58000000000001,True,1.4210854715202004e-14,9,Spring
train/ID1113329413.jpg,2015-06-29,Tas,WhiteClover,0.72,3.0,20.6523,21.1112,1.3768,43.1403,22.0291,43.1403,True,0.0,6,Winter
train/ID1119739385.jpg,2015-05-18,Tas,Ryegrass,0.28,4.0,0.0,3.0,6.8,9.8,6.8,9.8,True,0.0,5,Autumn
train/ID1119761112.jpg,2015-05-07,NSW,Fescue,0.42,4.0,0.0,32.4486,22.9514,55.4,22.9514,55.4,True,0.0,5,Autumn
train/ID1121692672.jpg,2015-02-24,NSW,Phalaris,0.52,38.0,0.0,1.3958,109.8042,111.2,109.8042,111.19999999999999,True,1.4210854715202004e-14,2,Summer
train/ID1127246618.jpg,2015-05-18,Tas,Ryegrass,0.77,7.0,3.0196,25.8824,32.3529,61.2549,35.3725,61.2549,True,0.0,5,Autumn
train/ID112966473.jpg,2015-08-14,Vic,Ryegrass_Clover,0.74,3.0,11.2,2.8,19.6,33.6,30.8,33.6,True,0.0,8,Winter
train/ID1131079710.jpg,2015-11-09,Tas,Clover,0.57,1.5,15.4794,11.119,1.5261,28.1246,17.0055,28.124499999999998,False,0.00010000000000331966,11,Spring
train/ID1136169672.jpg,2015-05-18,Tas,Ryegrass,0.62,5.0,0.0,6.808,16.3107,23.1187,16.3108,23.1187,True,0.0,5,Autumn
train/ID1139866256.jpg,2015-05-07,NSW,Fescue,0.66,13.0,0.0,83.8407,74.0593,157.9,74.0593,157.89999999999998,True,2.842170943040401e-14,5,Autumn
train/ID1139918758.jpg,2015-08-21,WA,Clover,0.79,3.0,58.34,0.0,0.0,58.34,58.34,58.34,True,0.0,8,Winter
train/ID1140993511.jpg,2015-08-14,Vic,Ryegrass_Clover,0.71,2.0,4.6,2.3,16.1,23.0,20.7,23.0,True,0.0,8,Winter
train/ID1148528732.jpg,2015-08-18,Vic,Phalaris_Clover,0.86,3.2,12.4113,0.0,28.0887,40.5,40.5,40.5,True,0.0,8,Winter
train/ID1148666289.jpg,2015-06-26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,4.0923,14.3231,21.4846,39.9,25.5769,39.9,True,0.0,6,Winter
train/ID1149598723.jpg,2015-05-07,NSW,Lucerne,0.87,43.0,0.0,5.3831,58.3169,63.7,58.3169,63.699999999999996,True,7.105427357601002e-15,5,Autumn
train/ID1159071020.jpg,2015-09-30,Vic,Phalaris_Clover,0.74,7.0,1.3191,6.7982,46.5727,54.69,47.8918,54.69,True,0.0,9,Spring
train/ID1163061745.jpg,2015-06-29,Tas,WhiteClover,0.5,2.0,5.2,6.7,1.2,13.1,6.4,13.1,True,0.0,6,Winter
train/ID1168534540.jpg,2015-05-07,NSW,Fescue,0.86,9.0,0.0,8.6892,55.6108,64.3,55.6108,64.3,True,0.0,5,Autumn
train/ID1176292407.jpg,2015-06-26,Tas,Ryegrass_Clover,0.5,3.0,0.1308,16.7365,9.022,25.8893,9.1528,25.8893,True,0.0,6,Winter
train/ID1182523622.jpg,2015-06-29,Tas,WhiteClover,0.48,2.0,3.1059,14.7193,0.6752,18.5004,3.7811,18.500400000000003,True,3.552713678800501e-15,6,Winter
train/ID1183807388.jpg,2015-07-01,Tas,Ryegrass,0.7,5.0,0.0,20.9156,20.9156,41.8312,20.9156,41.8312,True,0.0,7,Winter
train/ID1193692654.jpg,2015-09-11,Tas,Ryegrass,0.69,3.1667,0.2727,6.3317,13.4232,20.0276,13.6959,20.0276,True,0.0,9,Spring
train/ID1199150612.jpg,2015-11-10,Tas,Ryegrass_Clover,0.62,5.5,0.3602,40.7019,27.0146,68.0767,27.3748,68.0767,True,0.0,11,Spring
train/ID1208644039.jpg,2015-07-01,Vic,Phalaris_Clover,0.79,5.0,1.55,7.75,31.0,40.3,32.55,40.3,True,0.0,7,Winter
train/ID1211362607.jpg,2015-02-24,NSW,Ryegrass,0.58,7.0,0.0,1.3446,66.5554,67.9,66.5554,67.9,True,0.0,2,Summer
train/ID121331988.jpg,2015-05-07,NSW,Fescue,0.75,8.0,0.0,21.05,63.15,84.2,63.15,84.2,True,0.0,5,Autumn
train/ID1215977190.jpg,2015-05-18,Tas,Ryegrass,0.74,5.0,0.4068,24.8123,30.1002,55.3193,30.507,55.3193,True,0.0,5,Autumn
train/ID1217108125.jpg,2015-06-29,Tas,WhiteClover,0.62,2.0,5.9027,8.0594,0.6811,14.6432,6.5838,14.6432,True,0.0,6,Winter
train/ID1237349078.jpg,2015-10-13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.38,2.5,3.189,26.221,9.39,38.8,12.579,38.8,True,0.0,10,Spring
train/ID12390962.jpg,2015-05-18,Tas,Ryegrass,0.56,5.0,0.0,15.2,14.0,29.2,14.0,29.2,True,0.0,5,Autumn
train/ID1244346858.jpg,2015-10-06,NSW,Fescue,0.45,12.3333,0.0,30.9343,49.2657,80.2,49.2657,80.2,True,0.0,10,Spring
train/ID1249094008.jpg,2015-06-26,Vic,Ryegrass,0.71,4.0,0.0,16.3603,4.5809,20.9412,4.5809,20.9412,True,0.0,6,Winter
train/ID1251029854.jpg,2015-05-07,NSW,Fescue,0.55,5.0,0.0,22.0875,36.8125,58.9,36.8125,58.9,True,0.0,5,Autumn
train/ID1254829053.jpg,2015-06-26,Vic,Ryegrass,0.69,4.5,0.0,10.2162,4.2568,14.473,4.2568,14.473,True,0.0,6,Winter
train/ID1268934251.jpg,2015-10-13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.42,3.3,0.0,24.7869,17.2131,42.0,17.2131,42.0,True,0.0,10,Spring
train/ID1275072698.jpg,2015-01-15,NSW,Lucerne,0.74,42.0,0.0,2.5,62.0,64.5,62.0,64.5,True,0.0,1,Summer
train/ID1277756619.jpg,2015-07-01,Tas,Ryegrass,0.4,3.0,0.0,3.2,6.0,9.2,6.0,9.2,True,0.0,7,Winter
train/ID1291116815.jpg,2015-07-02,Vic,Ryegrass_Clover,0.76,3.0,1.24,3.72,19.84,24.8,21.08,24.8,True,0.0,7,Winter
train/ID1294770420.jpg,2015-11-09,Tas,Ryegrass_Clover,0.59,3.3333,17.3814,36.1534,14.6004,68.1352,31.9818,68.1352,True,0.0,11,Spring
train/ID1314135397.jpg,2015-01-15,NSW,Fescue_CrumbWeed,0.75,6.0,0.0,16.6678,28.0322,44.7,28.0322,44.7,True,0.0,1,Summer
train/ID13162390.jpg,2015-08-14,Vic,Ryegrass_Clover,0.74,3.0,2.8667,2.8667,20.0667,25.8,22.9333,25.8001,False,9.999999999976694e-05,8,Winter
